gene,mean_log1p_CP10K,detection_fraction,sd_log1p_CP10K
WASF2,1.0400798637172965,0.7452471482889734,0.7515910668423315
AHDC1,0.20788055014307247,0.21520912547528517,0.44067146115995703
FGR,0.0036416333243378843,0.003041825095057034,0.0722804543926554
LINC02574,0.0011193944349332011,0.0007604562737642585,0.04059252061355194
IFI6,0.5791193705286078,0.467680608365019,0.7345271678067807
RPA2,0.04048283249370613,0.05627376425855513,0.17932291693263203
AL512288.1,0.0,0.0,0.0
EYA3,0.10479084326357256,0.12547528517110265,0.31710693591335815
PTAFR,0.004702943140830221,0.00532319391634981,0.06922396152422162
DNAJC8,0.6089850189448476,0.5193916349809886,0.6826642120013398
AL353622.1,0.006413971736519136,0.0076045627376425855,0.08133866903477409
SNHG12,0.17481936439795756,0.18098859315589352,0.41536259501841954
TAF12,0.049321548366997314,0.0623574144486692,0.2136589051318286
AL009181.1,0.0,0.0,0.0
TMEM200B,0.10315545608099413,0.11634980988593156,0.3282112403481566
SRSF4,0.5594197235867743,0.5057034220532319,0.6444148897996327
MECR,0.10000374353087094,0.1285171102661597,0.28807069213530995
LINC01648,0.0,0.0,0.0
MATN1,0.0027739168270599322,0.0038022813688212928,0.048682700597314124
LAPTM5,0.04600424389402184,0.0403041825095057,0.2529874474471101
SDC3,0.20773875873538145,0.21368821292775667,0.4515623572442911
PUM1,0.5222428924636505,0.4737642585551331,0.6402213202833298
SNRNP40,0.22391269055261312,0.25627376425855514,0.429817982870142
FABP3,0.02367742044968566,0.025095057034220533,0.16357885967814578
AC114488.1,0.0004240129336286098,0.0007604562737642585,0.015375950792321982
PEF1,0.2772911199414132,0.308745247148289,0.4643393877621712
COL16A1,0.5430013288239853,0.43193916349809885,0.7054966094809322
ADGRB2,0.02513173220889301,0.03193916349809886,0.1580784911653436
SPOCD1,0.010044366905059303,0.013688212927756654,0.09257765099805074
AL354919.1,0.0007212025681334006,0.0007604562737642585,0.0261529173273482
PTP4A2,0.26088594520388375,0.2973384030418251,0.4508143288849477
AL445248.1,0.0012119025941000167,0.001520912547528517,0.031064868079094504
AL049795.1,0.005942845162986514,0.006083650190114068,0.08115375765894499
TMEM234,0.037872417117677186,0.04410646387832699,0.19658722611830462
MARCKSL1,0.44193192866261405,0.38479087452471483,0.6246702870106292
FAM229A,0.021258291723883233,0.026615969581749048,0.1427671500916002
BSDC1,0.1786479937734516,0.19695817490494297,0.41036022632360036
ZBTB8OS,0.26096040778063656,0.2874524714828897,0.46617958882559996
SYNC,0.3023723442948522,0.2996197718631179,0.5257150004619835
AC114489.1,0.0,0.0,0.0
YARS,0.13024954282355414,0.16577946768060836,0.32457362221368075
FNDC5,0.026901664271956102,0.02585551330798479,0.1769996911072707
TMEM54,0.27543855497871134,0.27604562737642585,0.5090494518348645
RNF19B,0.09947555727035197,0.11634980988593156,0.3007037929221516
AK2,0.17665185856576646,0.20988593155893537,0.3838454673743887
TRIM62,0.008838274908923178,0.012927756653992395,0.08300308931548227
PHC2,0.49698400684451977,0.4509505703422053,0.6261544081333825
CSMD2,0.01843289943871128,0.0311787072243346,0.10809471262968412
SMIM12,0.004441052794854485,0.00532319391634981,0.0694059301384117
DLGAP3,0.0010174312517515452,0.001520912547528517,0.026658238977403936
AC114490.3,0.027054338456848185,0.0311787072243346,0.1719178826655638
ZMYM6,0.005910519564945692,0.006083650190114068,0.08915951169216388
AL590434.1,0.002931305153164878,0.0038022813688212928,0.05036354515571695
SFPQ,0.6993139541716304,0.5657794676806084,0.71838744231051
ZMYM4-AS1,0.0,0.0,0.0
KIAA0319L,0.14095759957846968,0.1650190114068441,0.35636595741756266
AC004865.2,0.0022408151193426566,0.0045627376425855515,0.03386812370337154
PSMB2,0.6470297641344896,0.5642585551330799,0.6455040424359084
C1orf216,0.11881087485766265,0.1482889733840304,0.3175018878069545
CLSPN,0.023308536118294847,0.022813688212927757,0.16523544096116402
AL139286.2,0.001888974365226445,0.001520912547528517,0.05470374018024261
COL8A2,0.20577666936657885,0.21749049429657794,0.4353748465581737
TRAPPC3,0.39715287487024103,0.4053231939163498,0.5406678239825023
EVA1B,0.7852904938296369,0.6015209125475285,0.7282944926089809
STK40,0.11146328153149639,0.12395437262357414,0.3303995898469001
LSM10,0.006719730562508354,0.009125475285171103,0.07714332537457852
OSCP1,0.017450940852171345,0.02129277566539924,0.138546664609322
MRPS15,0.4483771249590459,0.4418250950570342,0.5685130840464625
CSF3R,0.002719989123711811,0.003041825095057034,0.05375613905702796
GRIK3,0.0003333006978868452,0.0007604562737642585,0.012086459452775795
LINC01137,0.039902322809327796,0.05627376425855513,0.1798706037162139
MEAF6,0.49932192586254404,0.4828897338403042,0.5839369768772994
SNIP1,0.10079145572238599,0.12623574144486693,0.29460555343030514
GNL2,0.17104762265352794,0.19771863117870722,0.38294008123804163
RSPO1,0.019452331847970603,0.024334600760456272,0.13230277281424332
C1orf109,0.057152347334814994,0.0699619771863118,0.2422168030752747
EPHA10,0.0,0.0,0.0
YRDC,0.09444033358767527,0.12243346007604562,0.2764513894817544
MTF1,0.10126426762982688,0.11406844106463879,0.3160562278750976
INPP5B,0.06090202819192429,0.07224334600760456,0.25008727730770575
SF3A3,0.2737957051514012,0.2904942965779468,0.48744153129534856
FHL3,0.2885769724825144,0.3011406844106464,0.4938952586657067
POU3F1,0.11131454961408031,0.10342205323193916,0.37622403959116685
