gene,logFC,logCPM,F,PValue,FDR
LSM3,-0.672841490384769,7.45682746435587,13.1705897397555,0.00250799496721878,0.250856156039081
SPARCL1,1.9452806764851,1.03976329586298,13.1713176020309,0.00253408065093982,0.250856156039081
SERPINA1,2.2584907948344,7.55676189343814,13.0180681011821,0.0026182281616902,0.250856156039081
ELL2,1.06860541770668,3.63614568371599,13.0050624198354,0.00263107886369932,0.250856156039081
PPARG,-1.2314603896864,4.98585782192872,12.9529079725032,0.00266809087653479,0.250856156039081
POLR1D,-0.826155577531036,7.92056259207906,12.9452005953138,0.00267283587439968,0.250856156039081
CDK8,-0.847335633715608,3.89103594978374,12.9475806841584,0.0026746822114975,0.250856156039081
PECAM1,1.62548897427847,1.04705644328445,12.9889154778657,0.0026784644262016,0.250856156039081
KIF1B,0.845487135389887,4.058953937445,12.9387941274976,0.00267953952797983,0.250856156039081
NFYC,0.774157867749694,4.37620821156805,12.8496964695456,0.00274749101145878,0.250856156039081
ANKRD26,-1.13480063707495,2.86779421758286,12.8643448905753,0.00274914091584276,0.250856156039081
FLT1,1.61897947274609,0.900601045579976,12.8258508190031,0.0027995385613993,0.250856156039081
MRPL13,-0.970252167121429,6.65562170801807,12.7688219929563,0.00281055005205334,0.250856156039081
SERPING1,1.64472744248408,1.56080268568695,12.7962873493314,0.00282746150297156,0.250856156039081
CTB-193M12.5,1.16094376387323,2.76231729532329,12.7607366764205,0.00282777324599187,0.250856156039081
COL1A1,1.62331609099691,5.03472618829603,12.7388298979181,0.00283531286661808,0.250856156039081
ARHGAP30,2.41248406893977,1.21960639940756,12.7389682466168,0.00284541486673523,0.250856156039081
CCT6A,-0.908839330431228,7.53482744892011,12.6829210082429,0.00288044322613872,0.250856156039081
PEBP1,-0.85090351745094,8.24568309874379,12.6588859202152,0.00290037063747275,0.250856156039081
KCNMA1,2.88262443369437,1.79420546212728,12.6506615942079,0.00292765047245595,0.250856156039081
C20orf27,-1.50579446517578,6.19262140518211,12.6040513421494,0.00294677164495951,0.250856156039081
MPP1,-2.45485727274291,3.25643530194513,12.620490340313,0.00295286168581072,0.250856156039081
FAIM2,2.67049623607502,2.97231027405293,12.616148184885,0.00295663523155901,0.250856156039081
TNFAIP8L1,-0.858760534063675,3.05269750998168,12.5971840653304,0.00296293766346851,0.250856156039081
COL3A1,1.98878005242866,4.64834877027176,12.5646797059825,0.00298163847668558,0.250856156039081
ZSWIM6,0.959161260556533,3.50880097350962,12.5570557446503,0.00299043022587469,0.250856156039081
CMIP,1.71287760077178,5.58847288792501,12.5122194878835,0.00302578593990751,0.250856156039081
XRN2,-1.38822380727683,6.54362081358027,12.511490354672,0.00302621714531019,0.250856156039081
RGS5,1.8577531702955,1.00674722807926,12.4699156747593,0.00309523569588169,0.250856156039081
MRPS26,-1.26360539935306,6.72569709867905,12.4122143360148,0.00311432925778556,0.250856156039081
CENPN,-1.20188875703602,4.81411380575176,12.3937061478456,0.00313265699972622,0.250856156039081
ZSWIM4,1.61834591487193,2.71412481388713,12.3666204468721,0.00317081696071619,0.250856156039081
NCBP2-AS2,-0.764204624018644,5.85337500643922,12.3245130942667,0.00319496020629766,0.250856156039081
BCYRN1,1.5842681897029,2.20505312241108,12.3347799482488,0.00321057263695626,0.250856156039081
BLNK,2.00842608047027,2.87997658171728,12.3197247795493,0.00321452817571819,0.250856156039081
CTSK,1.52924914611839,2.26976907043063,12.2910234331855,0.00324977329924101,0.250856156039081
NNMT,3.18599168810801,3.69505064561756,12.2729895401567,0.00325862106185104,0.250856156039081
ZPR1,-0.659127288615614,5.36108155101661,12.2278578581189,0.00328634864921493,0.250856156039081
EMC3,-0.744459141852434,5.47899627729626,12.2247688525069,0.00328924630330375,0.250856156039081
PFDN4,-1.33145562912944,7.32980313933549,12.1996223777436,0.00331320377531483,0.250856156039081
RP13-870H17.3,2.23931695628767,1.34875219210787,12.2254049105109,0.0033222134473316,0.250856156039081
PTAFR,2.47888223060491,1.45218008414591,12.199281089366,0.00334023186843944,0.250856156039081
RP11-1094M14.11,-1.07205111903194,4.25434721254692,12.1435758452348,0.00337106827530688,0.250856156039081
LSM8,-0.825605692518878,6.8145473253062,12.137453288183,0.00337407718046565,0.250856156039081
PRSS23,-2.2171938408597,6.68016973407181,12.1360253931246,0.00337579605910569,0.250856156039081
PXMP4,-1.08865832096036,3.64961011369297,12.129544248486,0.00338866236471754,0.250856156039081
STRAP,-1.46002280846771,7.62455530274946,12.1170915194541,0.00339422133022016,0.250856156039081
