drug,n_high,n_low,median_high,median_low,median_difference,mean_high,mean_low,mean_difference,p_value,fdr_bh,sensitivity_rank
OF-1_1853,191,192,4.16473828743652,4.30080315374481,-0.136064866308291,4.17267465654691,4.27907740105662,-0.106402744509713,0.00209590910846918,0.00326763782265273,107
MG-132_1862,191,192,-1.61299634267264,-1.5103182877921,-0.102678054880538,-1.59998710299028,-1.49419422951097,-0.105792873479305,0.000262698918942049,0.000464414160272551,108
Dinaciclib_1180,191,192,-2.85638092980033,-2.72346480251865,-0.132916127281685,-2.80220226762483,-2.70542875865547,-0.0967735089693669,0.0100496146928475,0.0146310566851751,109
IAP_5620_1428,191,192,5.28453244708551,5.37434292603936,-0.0898104789538454,5.28100325453587,5.37217280129498,-0.0911695467591125,0.0179612650839746,0.0248694439624264,110
AZD6738_1917,191,192,2.18783598511426,2.28935423918555,-0.10151825407129,2.2240972428535,2.31479633910316,-0.0906990962496677,0.0588699729820595,0.0737737636104291,111
EPZ5676_1563,191,192,5.60377053657525,5.68913277242349,-0.0853622358482413,5.63551992186276,5.72512666646726,-0.0896067446044926,0.0517180286974464,0.0656421133467589,112
Dactinomycin_1811,191,192,-2.40644731413942,-2.265952305393,-0.140495008746415,-2.36089259609907,-2.27459175226783,-0.0863008438312392,0.0941155862210521,0.115744633986139,113
EPZ004777_1237,191,192,5.20933820380991,5.31157594576039,-0.10223774195048,5.24202387667677,5.32547156324994,-0.0834476865731668,0.0152875136598333,0.0214675723733829,114
PAK_5339_1730,191,192,2.35162584145372,2.42902266161159,-0.0773968201578721,2.36891021367153,2.45191815150525,-0.0830079378337132,0.0299527647136589,0.0390174171927925,115
Docetaxel_1007,191,192,-4.42582131901996,-4.33889872028045,-0.0869225987395108,-4.40671091682658,-4.34195204439039,-0.0647588724361903,0.258713887624975,0.297821800870611,116
ABT737_1910,191,192,2.42570952499019,2.46269971031775,-0.0369901853275594,2.36889797815811,2.4317365765596,-0.0628385984014912,0.201228862548893,0.234372439909887,117
Venetoclax_1909,191,192,2.35886022501752,2.39664048534777,-0.0377802603302522,2.29467086767327,2.35251178212811,-0.0578409144548475,0.35187137916196,0.391407489180158,118
AZD4547_1786,191,192,2.82832770060708,2.91685647045472,-0.0885287698476409,2.81069035197505,2.8660137382929,-0.0553233863178533,0.319901277982208,0.364025592186651,119
IRAK4_4710_1716,191,192,4.93775117042686,5.0000890978478,-0.0623379274209333,4.93641146554263,4.99072717258246,-0.0543157070398292,0.0254561308259035,0.0336020926901926,120
Pictilisib_1058,191,192,1.42002048834072,1.48596672563088,-0.0659462372901558,1.43100168345402,1.48320977346254,-0.0522080900085156,0.000162332341855077,0.000312056346478692,121
Uprosertib_2106,191,192,2.88878696310253,2.94282919215734,-0.0540422290548053,2.89187257581486,2.94277463187034,-0.05090205605548,0.38377445277853,0.42381727400211,122
PLX-4720_1036,191,192,4.47024203307643,4.52715698772391,-0.0569149546474819,4.52303524545152,4.57263384946549,-0.0495986040139744,0.385288430911009,0.42381727400211,123
AGI-5198_1913,191,192,4.73681113513163,4.77636829863293,-0.0395571635012981,4.73303813788707,4.77850854659256,-0.0454704087054827,0.158793412064821,0.189404190294184,124
PD173074_1049,191,192,4.21672699261421,4.24115264489127,-0.0244256522770598,4.20892445842921,4.24839612822504,-0.0394716697958328,0.576826995379267,0.610757995107459,125
AGI-6780_1634,191,192,4.29819211900913,4.28372442706094,0.0144676919481901,4.26805254735433,4.30503967685204,-0.0369871294977058,0.490755073207319,0.53098089888005,126
NVP-ADW742_1932,191,192,3.01303378439045,3.09691800285027,-0.0838842184598185,3.05688250764519,3.09367730785121,-0.0367948002060241,0.514878349090671,0.554053875651918,127
TAF1_5496_1732,191,192,4.05591049821467,4.13111707197724,-0.0752065737625678,4.01895824487839,4.0521089818121,-0.0331507369337105,0.334022122039615,0.375774887294567,128
Pevonedistat_1529,191,192,0.929419929303368,0.945638949415381,-0.0162190201120134,0.900612328207879,0.925402203057401,-0.0247898748495229,0.997422105956004,0.997422105956004,129
Navitoclax_1011,191,192,2.2659156057121,2.29412208896128,-0.028206483249182,2.24722254543538,2.27026697631101,-0.0230444308756339,0.748374184213865,0.779884676180764,130
Linsitinib_1510,191,192,3.82734315966979,3.87396171578458,-0.0466185561147903,3.86244334101303,3.87895525938155,-0.0165119183685216,0.810679600864505,0.831681663063068,131
Wee1 Inhibitor_1046,191,192,2.25092554470774,2.26911509820885,-0.0181895535011121,2.28027780799638,2.29047479497438,-0.0101969869779976,0.965025441975806,0.974872640363314,132
ERK_6604_1714,191,192,3.40218277260066,3.37333328371287,0.0288494888877904,3.35560606928287,3.36081497669545,-0.0052089074125794,0.974593580829234,0.979540756366438,133
AZD5582_1617,191,192,2.3639289627682,2.4072457625019,-0.0433167997336978,2.368823420723,2.37402338646104,-0.00519996573803505,0.807103041734937,0.831681663063068,134
I-BRD9_1928,191,192,4.55754302551411,4.54915672421937,0.00838630129474449,4.57156962203037,4.57572701359837,-0.00415739156800132,0.840150080353616,0.85307546620521,135
Cediranib_1922,191,192,2.22497571807014,2.21401326737463,0.0109624506955104,2.23704591549222,2.23274722358586,0.00429869190635834,0.733033955794217,0.767940334641561,136
LCL161_1557,191,192,5.06963444897487,5.06476640044119,0.00486804853368383,5.073570227505,5.06169510861618,0.0118751188888142,0.665391659108309,0.700784832465134,137
VSP34_8731_1734,191,192,2.32122156735586,2.31607624093963,0.00514532641623022,2.35876397754598,2.34180102863067,0.0169629489153089,0.771570719917792,0.799848180857188,138
5-Fluorouracil_1073,191,192,4.8003334368465,4.81238202656213,-0.0120485897156346,4.83232477234977,4.80929270255454,0.0230320697952289,0.836543216207052,0.85307546620521,139
Fulvestrant_1816,191,192,4.64546414191848,4.64104730318622,0.00441683873225163,4.66949007497181,4.64444038713431,0.0250496878374946,0.530489216226909,0.564714326951226,140
AZD5363_1916,191,192,3.12349267809089,3.10999570299086,0.0134969751000282,3.12028582079923,3.09280094813414,0.0274848726650871,0.523855404805528,0.560666865683754,141
Dabrafenib_1373,191,192,4.57991734749299,4.55635552102009,0.023561826472899,4.59903505353327,4.56725239999364,0.0317826535396302,0.44438818694295,0.486126303948641,142
SCH772984_1564,191,192,2.64758440638424,2.61914470513148,0.0284397012527617,2.6542955478435,2.62118241965223,0.0331131281912698,0.00575346428234891,0.00869607578553499,143
ULK1_4989_1733,191,192,2.38027606236602,2.35349888592122,0.0267771764448042,2.4169720845364,2.38146749226785,0.0355045922685484,0.47122063556511,0.5126466255049,144
